iter	Passed	Remaining
0	1	1090
1	1	774
2	1	628
3	2	553
4	2	526
5	3	515
6	3	504
7	3	475
8	4	455
9	4	446
10	4	441
11	5	434
12	5	421
13	5	411
14	6	406
15	6	399
16	6	395
17	7	397
18	7	391
19	7	388
20	8	385
21	8	383
22	8	380
23	9	377
24	9	372
25	9	367
26	10	363
27	10	363
28	10	366
29	11	364
30	11	363
31	11	360
32	12	357
33	12	354
34	12	352
35	13	353
36	13	351
37	13	350
38	14	347
39	14	346
40	14	343
41	14	341
42	15	340
43	15	339
44	15	338
45	16	338
46	16	338
47	17	338
48	17	336
49	17	335
50	18	336
51	18	335
52	18	336
53	19	336
54	19	335
55	19	334
56	20	333
57	20	332
58	20	333
59	21	332
60	21	331
61	21	330
62	22	328
63	22	327
64	22	327
65	23	328
66	23	328
67	23	327
68	24	325
69	24	324
70	24	324
71	25	323
72	25	322
73	25	321
74	26	320
75	26	320
76	26	320
77	27	321
78	27	322
79	28	323
80	28	323
81	28	322
82	28	319
83	29	318
84	29	317
85	29	317
86	30	318
87	30	318
88	31	317
89	31	317
90	31	316
91	31	315
92	32	314
93	32	314
94	32	313
95	33	314
96	33	314
97	34	314
98	34	315
99	35	317
100	35	317
101	36	317
102	36	317
103	36	316
104	37	315
105	37	315
106	37	315
107	38	314
108	38	314
109	38	314
110	39	314
111	39	314
112	40	314
113	40	313
114	40	312
115	41	313
116	41	313
117	41	313
118	42	312
119	42	312
120	42	311
121	43	310
122	43	310
123	43	309
124	44	309
125	44	308
126	44	307
127	45	307
128	45	306
129	45	305
130	46	305
131	46	304
132	46	304
133	47	303
134	47	303
135	47	302
136	48	302
137	48	301
138	48	301
139	49	301
140	49	303
141	49	301
142	50	301
143	50	302
144	51	302
145	51	302
146	52	303
147	52	302
148	52	302
149	53	302
150	53	301
151	53	300
152	54	300
153	54	299
154	54	299
155	55	299
156	55	299
157	56	299
158	56	299
159	56	298
160	57	297
161	57	297
162	57	296
163	58	296
164	58	297
165	59	296
166	59	296
167	59	295
168	60	295
169	60	295
170	60	294
171	61	294
172	61	293
173	61	293
174	62	293
175	62	292
176	62	292
177	63	292
178	63	291
179	64	291
180	64	291
181	64	291
182	65	291
183	65	291
184	66	291
185	66	290
186	66	289
187	66	289
188	67	289
189	67	289
190	68	288
191	68	288
192	69	288
193	69	288
194	69	288
195	70	287
196	70	287
197	70	287
198	71	287
199	71	287
200	72	287
201	72	287
202	73	287
203	73	287
204	74	287
205	74	286
206	74	286
207	75	286
208	75	286
209	76	286
210	76	286
211	76	286
212	77	285
213	77	285
214	78	284
215	78	284
216	78	283
217	78	283
218	79	282
219	79	283
220	80	282
221	80	282
222	81	282
223	81	281
224	81	281
225	82	281
226	82	280
227	82	280
228	83	279
229	83	279
230	83	278
231	84	278
232	84	278
233	84	277
234	85	277
235	85	276
236	85	276
237	86	276
238	86	276
239	87	275
240	87	275
241	87	275
242	88	275
243	88	274
244	88	274
245	89	274
246	89	274
247	90	273
248	90	273
249	90	272
250	91	272
251	91	272
252	92	272
253	92	271
254	92	270
255	93	270
256	93	270
257	93	270
258	94	269
259	94	270
260	95	269
261	95	269
262	96	269
263	96	268
264	96	268
265	97	267
266	97	267
267	97	267
268	98	267
269	98	266
270	99	266
271	99	266
272	99	265
273	100	265
